Purpose;CurbWeight;A;B;C;D;E;F;G;H;N;Unknown;NOGA_LWE;NOGA_letter;ASC;BSC;cons_2stops;LargeCurbWeight;b_lnStops;b_tt_return;b_access
Service;X;1;1;1;1;1;1;;;;1;Other;Other;0.064290467;0;-0.8792386;0;0;0;0.111325794
Service;X;;;;;;;1;;;;7;G;0.064290467;0.635068705;-0.8792386;0;0;0;0.111325794
Service;X;;;;;;;;1;;;8;H;0.064290467;0;-0.8792386;0;0;0;0.111325794
Service;X;;;;;;;;;1;;14;N;0.064290467;0;-0.8792386;0;0;0;0.111325794
Goods;Light;1;1;1;1;1;1;;;;;Other;Other;-0.684818278;0;-1.160342842;0;0.386723264;0.008485905;0.092853881
Goods;Light;;;;;;;1;;;;7;G;-0.684818278;0.681900971;-1.160342842;0;0.386723264;0.008485905;0.092853881
Goods;Light;;;;;;;;1;;;8;H;-0.684818278;0.591082022;-1.160342842;0;0.386723264;0.008485905;0.092853881
Goods;Light;;;;;;;;;1;;14;N;-0.684818278;0.398256154;-1.160342842;0;0.386723264;0.008485905;0.092853881
Goods;Light;;;;;;;;;;1;100;Unknown;-0.684818278;0.252712651;-1.160342842;0;0.386723264;0.008485905;0.092853881
Goods;Heavy;1;1;1;1;1;1;;;;;Other;Other;-0.684818278;0;-1.160342842;0.317658684;0.386723264;0.008485905;0.092853881
Goods;Heavy;;;;;;;1;;;;7;G;-0.684818278;0.681900971;-1.160342842;0.317658684;0.386723264;0.008485905;0.092853881
Goods;Heavy;;;;;;;;1;;;8;H;-0.684818278;0.591082022;-1.160342842;0.317658684;0.386723264;0.008485905;0.092853881
Goods;Heavy;;;;;;;;;1;;14;N;-0.684818278;0.398256154;-1.160342842;0.317658684;0.386723264;0.008485905;0.092853881
Goods;Heavy;;;;;;;;;;1;100;Unknown;-0.684818278;0.252712651;-1.160342842;0.317658684;0.386723264;0.008485905;0.092853881
Other;X;1;1;1;1;1;1;1;1;1;1;Other;Other;0.2286269;0;-0.894197609;0;0;0;0
