DepotID;Courier;X;Y;Comment;ZoneID
1;La Poste;2499990.773;1118866.252;"Rue de Montbrillant 38, 1201 Geneve";662101054
2;La Poste;2510288.141;1141224.758;"Avenue du Mont-Blanc 31, 1196 Gland";572101007
3;La Poste;2531300.738;1165097.67;"ZI les Graveys A, 1306 Daillens";548001001
4;La Poste;2531874.942;1167227.097;"Zi Les Marais 12, 1312 Eclepens";548201001
5;La Poste;2571489.092;1163962.52;"Route du Verdel 28, 1630 Bulle";212501020
6;La Poste;2560623.044;1183918.426;"Route de Payerne 22, 1532 Fetigny";201601001
7;La Poste;2556191.139;1201069.962;"Chemin de la Plaine 17, 2013 Colombier NE";640401006
8;La Poste;2575664.773;1184859.379;"Route Jo-Siffert 34, 1762 Givisiez";219701001
9;La Poste;2603192.881;1201241.398;"Milchstrasse 1, 3072 Ostermundigen";36301002
10;La Poste;2593708.312;1119541.727;"Rue de la Blancherie 4, 1950 Sion";626601009
11;La Poste;2588935.027;1223153.791;"Grenchenstrasse 10, 2504 Biel/Bienne";37101043
12;La Poste;2592154.095;1244463.196;"Route de la Communance 84, 2800 Delemont";671101003
13;La Poste;2607729.587;1228044.824;"Zuchwilerstrasse 27, 4500 Solothurn";260101014
14;La Poste;2613157.89;1212516.794;"Kirchbergstrasse 105, 3400 Burgdorf";40401003
15;La Poste;2614832.834;1177881.009;"Seestrasse 12, 3600 Thun";94201024
16;La Poste;2611569.504;1266257.072;"Gartenstrasse 143, 4052 Basel";270101060
17;La Poste;2627958.516;1240648.18;"Altgraben 5, 4624 Haerkingen";240201001
18;La Poste;2620997.758;1260815.183;"Unterfeldstrasse 17, 4410 Liestal";282901001
19;La Poste;2646197.441;1249254.776;"Poststrasse 17, 5000 Aarau";400101007
20;La Poste;2647693.664;1249471.763;"Amsleracherweg 6, 5033 Buchs AG";400301002
21;La Poste;2665260.177;1209118.31;"Nidfeldstrasse 1, 6010 Kriens";105901021
22;La Poste;2661807.191;1215467.107;"Station-Ost 3, 6023 Rothenburg";104001001
23;La Poste;2661766.272;1194560.847;"Industriestrasse 4, 6060 Sarnen";140701008
24;La Poste;2660297.884;1251990.161;"Almuesenacherstrasse 6, 5506 Maegenwil";403201001
25;La Poste;2691677.607;1190493.332;"Militaerstrasse 16, 6467 Schattdorf";121301001
26;La Poste;2674570.382;1246842.269;"Heinrich Stutz-Strasse 27, 8902 Urdorf";25001004
27;La Poste;2681626.101;1226859.75;"Oberneuhofstrasse 10C, 6340 Baar";170101002
28;La Poste;2682629.366;1252086.167;"Eduard-Imhof-Strasse 8, 8050 Zuerich";26101157
29;La Poste;2677821.778;1249956.41;"Zuercherstrasse 161, 8952 Schlieren";24701020
30;La Poste;2684387.569;1246521.691;"Forchstrasse 8, 8008 Zuerich";26101255
31;La Poste;2682041.432;1263366.832;"Badenerstrasse 81, 8180 Buelach";5301002
32;La Poste;2690877.426;1232389.205;"Ruetiwisstrasse 8, 8820 Waedenswil";14201002
33;La Poste;2716290.799;1112571.237;"Via Industrie 12, 6593 Cadenazzo";500301003
34;La Poste;2693814.803;1252906.552;"Vogelsangstrasse 14, 8307 Effretikon";17401001
35;La Poste;2704552.039;1240036.911;"Studbachstrasse 11, 8340 Hinwil";11701001
36;La Poste;2711767.804;1226013.464;"Stachelhofstrasse 8, 8854 Siebnen";134601004
37;La Poste;2711296.569;1270028.47;"Langfeldstrasse 110, 8500 Frauenfeld";456601023
38;La Poste;2719056.494;1258079.258;"Butzenlohstrasse 2, 8370 Sirnach";476101005
39;La Poste;2722265.401;1221224.209;"Badstrasse 32, 8867 Niederurnen";163001004
40;La Poste;2738632.845;1252760.969;"Lagerstrasse 4, 9200 Gossau SG";344301013
41;La Poste;2745462.373;1253837.961;"Gueterbahnhofstrasse 26, 9000 St. Gallen";320301032
42;La Poste;2765067.023;1255154.183;"Musterplatzstrasse 5, 9442 Berneck";323301003
43;La Poste;2760756.8;1197925.604;"Wingertliweg 5, 7204 Untervaz";394601002
44;La Poste;2759322.59;1191185.733;"Guertelstrasse 14, 7000 Chur";390101018
45;FedEx;2532981;1156643.415;From OpenStreetMap - Bussigny;562401006
46;FedEx;2495217.809;1120065.257;From Google Maps - Meyrin;663001015
47;FedEx;2580681.005;1201749.238;From Google Maps - Kerzers;226501001
48;FedEx;2677853.151;1226309.716;From Google Maps - Oberrueti;170201012
49;FedEx;2613051.293;1261721.68;From Google Maps - Arlesheim;276301001
50;FedEx;2684642.81;1254311.71;From Google Maps - Opfikon;6601005
51;FedEx;2717285.386;1259857.33;From Google Maps - Muenchwilen;474601002
52;FedEx;2715368.785;1092740.947;From Google Maps - Montagnola;523601005
53;DHL;2532927.66;1156804.544;From OpenStreetMap - Bussigny;562401006
54;DHL;2602291.48;1206427.476;From OpenStreetMap - Zollikofen;54601009
55;DHL;2615083.172;1265047.226;From OpenStreetMap - Muttenz;277001006
56;DHL;2720146.1;1257455.841;From Google Maps - Wil;342701005
57;DHL;2677215.893;1255655.359;From Google Maps - Regensdorf;9601005
58;DHL;2715263.497;1108140.863;From Google Maps - Rivera;523801003
59;DHL;2497100.013;1121379.104;From Google Maps - Geneve;662304010
60;DHL;2613682.773;1174734.354;From Google Maps - Gwatt;94201011
61;DHL;2669087.612;1215575.854;From Google Maps - Ebikon;105401008
62;DHL;2754426.4;1226811.036;From Google Maps - Buchs;327101002
63;DHL;2619935.596;1264581.336;From Google Maps - Pratteln;283101011
64;DHL;2700020.87;1261922.141;From Google Maps - Winterthur;23001074
65;DPD;2581004.563;1229447.204;From OpenStreetMap - Tavannes;71301001
66;DPD;2602728.1;1200503.776;From Google Maps - Bern;35101097
67;DPD;2674779.626;1256192.497;From Google Maps - Buchs;8301001
68;DPD;2631380.371;1269538.869;From Google Maps - Moehlin;425401009
69;DPD;2661329.154;1215697.313;From Google Maps - Rothenburg;104001001
70;DPD;2711801.596;1262790.582;From Google Maps - Wittenwil;455101008
71;DPD;2753389.02;1210954.393;From Google Maps - Vilters;329701003
72;DPD;2531346.446;1155723.357;From Google Maps - Bussigny;562401003
73;DPD;2493637.901;1120089.962;From Google Maps - Meyrin;663801006
74;DPD;2573217.88;1105760.593;From Google Maps - Martigny;613601014
75;DPD;2579980.122;1112437.653;From Google Maps - Saillon;614001002
76;DPD;2720402.942;1114275.669;From Google Maps - Giubiasco;500501002
