Halter;CurbWeight;Goods;Other;Service
A;Light;0.3666572;0.2750897;0.3582531
A;Heavy;0.6366190;0.1207104;0.2426706
B;Light;0.0863832;0.5829740;0.3306428
B;Heavy;0.2691491;0.4951772;0.2356738
C;Light;0.3028069;0.0459903;0.6512028
C;Heavy;0.4575242;0.0321625;0.5103132
D;Light;0.0885083;0.0484689;0.8630228
D;Heavy;0.1720747;0.1267440;0.7011814
E;Light;0.3103403;0.2418506;0.4478091
E;Heavy;0.5760739;0.0652018;0.3587242
F;Light;0.1412130;0.0741506;0.7846364
F;Heavy;0.3358294;0.1185800;0.5455906
G;Light;0.3796956;0.0752933;0.5450111
G;Heavy;0.6096742;0.0605454;0.3297803
H;Light;0.4177496;0.1911248;0.3911256
H;Heavy;0.7486571;0.0683458;0.1829971
N;Light;0.1539254;0.0901990;0.7558756
N;Heavy;0.3404652;0.0764944;0.5830405
Unknown;Light;0.3641810;0.1626318;0.4731872
Unknown;Heavy;0.4301951;0.1708907;0.3989142
